Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
mo,No,1sg,sg,YC,<DET>Mo nyes</DET> vini chèche mon kote en lekòl.,Ventress,1909,Female,Black
ye,No,3pl,pl,JL,"Kouri THROUGH, kòmon ye èlve <DET>ye piti-yen</DET>, kòmon ye (pase).",Ventress,1913,Female,Black
nou,No,1pl,sg,YC,E <DET>nou monmon</DET> se kouri achte kote charet li achte en gro blòk.,Ventress,1909,Female,Black
so,No,3sg,sg,YC,"E li se vini e <DET>so sizo</DET> e <DET>so negwi</DET>, e li se fe nou ti ròb-ye pou mèt an nouzòt.",Ventress,1909,Female,Black
so,No,3sg,sg,YC,"E li se vini e <DET>so sizo</DET> e <DET>so negwi</DET>, e li se fe nou ti ròb-ye pou mèt an nouzòt.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Kan <DET>mo popa</DET> (te) chèche en pèr tenis pou <DET>mo frè</DET>, senkont sou,",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Kan <DET>mo popa</DET> (te) chèche en pèr tenis pou <DET>mo frè</DET>, senkont sou,",Ventress,1909,Female,Black
mon,No,1sg,sg,YC,"(Kote la, kote) la mezon <DET>mon momon</DET> li te travay dan la kou mounn blan-ye.",Ventress,1909,Female,Black
nou,No,1sg,sg,YC,Ye se donn nouzò en vye lamezon pou nou rèste <DET>nou momon</DET> e <DET>nou popa</DET>.,Ventress,1909,Female,Black
nou,No,1pl,sg,YC,Ye se donn nouzò en vye lamezon pou nou rèste <DET>nou momon</DET> e <DET>nou popa</DET>.,Ventress,1909,Female,Black
ye,No,3pl,sg,YC,E ka momon-ye se travay dan <DET>ye lakou</DET> ye te pey pa ye.,Ventress,1909,Female,Black
ye,No,3pl,pl,YC,"O ka ye se, pliche depwa, ye se dòn <DET>ye kè-ye</DET> pou mennen la mezon e piti-ye te tro konton",Ventress,1909,Female,Black
nou,No,1pl,pl,JL,Lenj pou mèt an <DET>nou piti-ye</DET> (pel nouzò).,Ventress,1913,Female,Black
nou,No,1pl,pl,JL,Ave <DET>nou mile-ye</DET>.,Ventress,1913,Female,Black
mo,No,1sg,sg,YC,"(...) <DET>mo dèzyenm ti bèbè</DET> i, mo, <DET>mo mari</DET> te pa gen pase en sen sou dan <DET>so pòch</DET>.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"(...) <DET>mo dèzyenm ti bèbè</DET> i, mo, <DET>mo mari</DET> te pa gen pase en sen sou dan <DET>so pòch</DET>.",Ventress,1909,Female,Black
so,No,3sg,sg,YC,"(...) <DET>mo dèzyenm ti bèbè</DET> i, mo, <DET>mo mari</DET> te pa gen pase en sen sou dan <DET>so pòch</DET>.",Ventress,1909,Female,Black
mon,Yes,1sg,pl,YC,"Dezèf sè te mo <VERB>krwa</VERB> THIRTY CENTS A, A DOZEN, e nou ka, ma--- men <DET>mon poul-ye</DET> te e ponn dan s tan-sa-la.",Ventress,1909,Female,Black
nou,No,1pl,sg,JL,Se pa <DET>nou biznis</DET> aou li ye!,Ventress,1913,Female,Black
so,No,3sg,sg,JL,<DET>So spèrit</DET> la!,Ventress,1913,Female,Black
mo,No,1sg,sg,YC,"Ka mo monde li pou, pou don mon, uh, la lijyon e lès mo, pran <DET>mo SIN</DET>, ote <DET>mo SIN</DET>---",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,E mo gen sèrvi li tou <DET>mo jou</DET>!,Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Mo di li mo sèrvi li, m a sèrvi li tou <DET>mo jou</DET>!",Ventress,1909,Female,Black
nou,No,1pl,sg,JL,<DET>Nou Labib</DET> di nouzòt sa. (...),Ventress,1913,Female,Black
ye,No,3pl,sg,YC,"Mo JOIN katolik pou en REASON, paske, (...), vye mounn-ye, se pa kite <DET>ye piti</DET> JOIN bæbtis paske ye te dons pa.",Ventress,1909,Female,Black
so,No,3sg,sg,JL,Li wa so tr--- dan <DET>so dòrmi</DET>.,Ventress,1913,Female,Black
mo,No,1sg,sg,YC,Mo chanje <DET>mo nide</DET>.,Ventress,1909,Female,Black
so,No,3sg,sg,JL,"Dan so, dan so, dan <DET>so TRAVELIN'</DET>.",Ventress,1913,Female,Black
mo,No,1sg,pl,YC,Mo ja rache tou <DET>mo dan-yen</DET>.,Ventress,1909,Female,Black
mo,No,1sg,pl,YC,<DET>Mo piti-ye</DET> p <VERB>ole</VERB> mo rèste mo tou-sel.,Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"<DET>Mo mari</DET> mouri dan SEVENTY-, ONE, NINETEEN SEVENTY-ONE.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black
to,No,2sg,sg,YC,To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.,Ventress,1909,Female,Black
to,No,2sg,sg,YC,To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.,Ventress,1909,Female,Black
mon,Yes,1sg,sg,YC,"La ka, la ka mo marye aben, mo stil se pa ka donse kòm mo t ole pas(k)eu <DET>mon mari</DET> se p--- mo se ich ka donse e li, mo se pa ka donse ave lezòt.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"A wè t ena bal, nou, nou te va, mwen e <DET>mo sè</DET>.",Ventress,1909,Female,Black
nou,No,1pl,sg,YC,"Dan le--- dan legliz kan nou <VERB>gen</VERB>, kan nou <VERB>gen</VERB> <DET>nou lames</DET>, mon sen en gro, (SHOUT FOR JOY) osi.",Ventress,1909,Female,Black
to,No,2sg,sg,JL,"E kan to <VERB>mouri</VERB>, e <DET>to lasosyete</DET> se li ki, k <VERB>antær</VERB> twa, la, li <VERB>gen</VERB> larjan pou antère twa.",Ventress,1913,Female,Black
mo,No,1sg,sg,YC,"Mo pa travay tou sa, apre mo mariye pase <DET>mo mari</DET> te, gro travayan.",Ventress,1909,Female,Black
so,No,3sg,sg,JL,<DET>So mari</DET> te veu pa li koupe dikann.,Ventress,1913,Female,Black
so,No,3sg,sg,YC,"(...) travay, i te travay, i te travay, i te pa konnen <DET>so lafòs</DET>.",Ventress,1909,Female,Black
so,No,3sg,sg,JL,"O l te konnen travay, <DET>so mari</DET>, te gen en bon mari.",Ventress,1913,Female,Black
mo,No,1sg,sg,YC,"Tou <DET>mo nouvraj</DET>, lave, kwi.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"A, <DET>mo mari</DET> te monj plen monje astè!",Ventress,1909,Female,Black
so,No,3sg,sg,JL,te lenm <DET>so monje</DET>.,Ventress,1913,Female,Black
so,No,3sg,sg,YC,monj <DET>so monje</DET>.,Ventress,1909,Female,Black
